year,month,game_id,gameday,away_team,temp,referee,overtime,week,wind_per_month
2000,Sep,2000_01_TB_NE,2000-09-03,TB,71,Jeff Triplette,0,1,10
2000,Sep,2000_03_MIN_NE,2000-09-17,MIN,70,Phil Luckett,0,3,10
2000,Oct,2000_06_IND_NE,2000-10-08,IND,55,Walt Coleman,0,6,15
2000,Oct,2000_07_NYJ_NE,2000-10-15,NYJ,76,Johnny Grier,0,7,15
2000,Nov,2000_10_BUF_NE,2000-11-05,BUF,46,Tom White,1,10,17.5
2000,Nov,2000_12_CIN_NE,2000-11-19,CIN,47,Bernie Kukar,0,12,17.5
2000,Dec,2000_14_KC_NE,2000-12-04,KC,45,Bob McElwee,0,14,10
2000,Dec,2000_17_MIA_NE,2000-12-24,MIA,31,Johnny Grier,0,17,10
2001,Sep,2001_02_NYJ_NE,2001-09-23,NYJ,74,Larry Nemmers,0,2,15
2001,Sep,2001_03_IND_NE,2001-09-30,IND,59,Bernie Kukar,0,3,15
2001,Oct,2001_05_SD_NE,2001-10-14,SD,59,Terry McAulay,1,5,15
2001,Nov,2001_09_BUF_NE,2001-11-11,BUF,47,Jeff Triplette,0,9,20
2001,Nov,2001_10_STL_NE,2001-11-18,STL,49,Bill Leavy,0,10,20
2001,Nov,2001_11_NO_NE,2001-11-25,NO,62,Gerry Austin,0,11,20
2001,Dec,2001_13_CLE_NE,2001-12-09,CLE,37,Walt Coleman,0,13,14.5
2001,Dec,2001_15_MIA_NE,2001-12-22,MIA,36,Jeff Triplette,0,15,14.5
2002,Jan,2001_19_OAK_NE,2002-01-19,OAK,25,Walt Coleman,1,19,3
2002,Sep,2002_01_PIT_NE,2002-09-09,PIT,86,Tony Corrente,0,1,10
2002,Sep,2002_03_KC_NE,2002-09-22,KC,80,Bill Carollo,1,3,10
2002,Oct,2002_06_GB_NE,2002-10-13,GB,61,Bernie Kukar,0,6,12.5
2002,Oct,2002_08_DEN_NE,2002-10-27,DEN,60,Tom White,0,8,12.5
2002,Nov,2002_12_MIN_NE,2002-11-24,MIN,49,Gerry Austin,0,12,20
2002,Dec,2002_14_BUF_NE,2002-12-08,BUF,44,Jeff Triplette,0,14,16.666666666666668
2002,Dec,2002_16_NYJ_NE,2002-12-22,NYJ,40,Tony Corrente,0,16,16.666666666666668
2002,Dec,2002_17_MIA_NE,2002-12-29,MIA,40,Bob McElwee,1,17,16.666666666666668
2003,Sep,2003_03_NYJ_NE,2003-09-21,NYJ,71,Walt Anderson,0,3,10
2003,Oct,2003_05_TEN_NE,2003-10-05,TEN,53,Ron Winter,0,5,11
2003,Oct,2003_06_NYG_NE,2003-10-12,NYG,55,Bill Carollo,0,6,11
2003,Oct,2003_08_CLE_NE,2003-10-26,CLE,62,Bernie Kukar,0,8,11
2003,Nov,2003_11_DAL_NE,2003-11-16,DAL,33,Tom White,0,11,0
2003,Dec,2003_14_MIA_NE,2003-12-07,MIA,28,Bernie Kukar,0,14,11
2003,Dec,2003_15_JAX_NE,2003-12-14,JAX,25,Walt Anderson,0,15,11
2003,Dec,2003_17_BUF_NE,2003-12-27,BUF,42,Ron Winter,0,17,11
2004,Jan,2003_19_TEN_NE,2004-01-10,TEN,4,Bill Carollo,0,19,6
2004,Jan,2003_20_IND_NE,2004-01-18,IND,32,Walt Coleman,0,20,6
2004,Sep,2004_01_IND_NE,2004-09-09,IND,73,Mike Carey,0,1,19
2004,Oct,2004_05_MIA_NE,2004-10-10,MIA,64,Bernie Kukar,0,5,11.666666666666666
2004,Oct,2004_06_SEA_NE,2004-10-17,SEA,50,Terry McAulay,0,6,11.666666666666666
2004,Oct,2004_07_NYJ_NE,2004-10-24,NYJ,46,Walt Anderson,0,7,11.666666666666666
2004,Nov,2004_10_BUF_NE,2004-11-14,BUF,40,Tom White,0,10,11
2004,Nov,2004_12_BAL_NE,2004-11-28,BAL,52,Scott Green,0,12,11
2004,Dec,2004_14_CIN_NE,2004-12-12,CIN,39,Jeff Triplette,0,14,5
2005,Jan,2004_17_SF_NE,2005-01-02,SF,32,Walt Coleman,0,17,4.5
2005,Jan,2004_19_IND_NE,2005-01-16,IND,25,Bill Carollo,0,19,4.5
2005,Sep,2005_01_OAK_NE,2005-09-08,OAK,74,Tony Corrente,0,1,0
2005,Oct,2005_04_SD_NE,2005-10-02,SD,73,Bill Leavy,0,4,3.5
2005,Oct,2005_08_BUF_NE,2005-10-30,BUF,58,Ron Winter,0,8,3.5
2005,Nov,2005_09_IND_NE,2005-11-07,IND,51,Bernie Kukar,0,9,10
2005,Nov,2005_11_NO_NE,2005-11-20,NO,51,Gerry Austin,0,11,10
2005,Dec,2005_13_NYJ_NE,2005-12-04,NYJ,26,Jeff Triplette,0,13,2
2005,Dec,2005_15_TB_NE,2005-12-17,TB,38,Scott Green,0,15,2
2006,Jan,2005_17_MIA_NE,2006-01-01,MIA,25,Tom White,0,17,2
2006,Jan,2005_18_JAX_NE,2006-01-07,JAX,24,Walt Anderson,0,18,2
2006,Sep,2006_01_BUF_NE,2006-09-10,BUF,63,Terry McAulay,0,1,11
2006,Sep,2006_03_DEN_NE,2006-09-24,DEN,68,Gerry Austin,0,3,11
2006,Oct,2006_05_MIA_NE,2006-10-08,MIA,65,Ed Hochuli,0,5,4
2006,Nov,2006_09_IND_NE,2006-11-05,IND,31,Ron Winter,0,9,2.3333333333333335
2006,Nov,2006_10_NYJ_NE,2006-11-12,NYJ,58,Peter Morelli,0,10,2.3333333333333335
2006,Nov,2006_12_CHI_NE,2006-11-26,CHI,54,Walt Coleman,0,12,2.3333333333333335
2006,Dec,2006_13_DET_NE,2006-12-03,DET,44,Jeff Triplette,0,13,8.5
2006,Dec,2006_15_HOU_NE,2006-12-17,HOU,52,Scott Green,0,15,8.5
2007,Jan,2006_18_NYJ_NE,2007-01-07,NYJ,50,Bill Vinovich,0,18,8
2007,Sep,2007_02_SD_NE,2007-09-16,SD,55,Ed Hochuli,0,2,7.5
2007,Sep,2007_03_BUF_NE,2007-09-23,BUF,74,Scott Green,0,3,7.5
2007,Oct,2007_05_CLE_NE,2007-10-07,CLE,56,Walt Coleman,0,5,11.5
2007,Oct,2007_08_WAS_NE,2007-10-28,WAS,55,Larry Nemmers,0,8,11.5
2007,Nov,2007_12_PHI_NE,2007-11-25,PHI,39,Gene Steratore,0,12,8
2007,Dec,2007_14_PIT_NE,2007-12-09,PIT,34,Terry McAulay,0,14,8.666666666666666
2007,Dec,2007_15_NYJ_NE,2007-12-16,NYJ,36,Jerome Boger,0,15,8.666666666666666
2007,Dec,2007_16_MIA_NE,2007-12-23,MIA,43,Ron Winter,0,16,8.666666666666666
2008,Jan,2007_19_JAX_NE,2008-01-12,JAX,37,Jerome Boger,0,19,11
2008,Jan,2007_20_SD_NE,2008-01-20,SD,23,Jeff Triplette,0,20,11
2008,Sep,2008_01_KC_NE,2008-09-07,KC,75,Carl Cheffers,0,1,8
2008,Sep,2008_03_MIA_NE,2008-09-21,MIA,72,Bill Carollo,0,3,8
2008,Oct,2008_07_DEN_NE,2008-10-20,DEN,40,Alberto Riveron,0,7,3.5
2008,Oct,2008_08_STL_NE,2008-10-26,STL,61,Scott Green,0,8,3.5
2008,Nov,2008_10_BUF_NE,2008-11-09,BUF,54,Walt Coleman,0,10,8
2008,Nov,2008_11_NYJ_NE,2008-11-13,NYJ,44,Gene Steratore,1,11,8
2008,Nov,2008_13_PIT_NE,2008-11-30,PIT,34,Ed Hochuli,0,13,8
2008,Dec,2008_16_ARI_NE,2008-12-21,ARI,30,Bill Leavy,0,16,10
2009,Sep,2009_01_BUF_NE,2009-09-14,BUF,70,Scott Green,0,1,2.5
2009,Sep,2009_03_ATL_NE,2009-09-27,ATL,62,Alberto Riveron,0,3,2.5
2009,Oct,2009_04_BAL_NE,2009-10-04,BAL,64,Ron Winter,0,4,7.5
2009,Oct,2009_06_TEN_NE,2009-10-18,TEN,39,Gene Steratore,0,6,7.5
2009,Nov,2009_09_MIA_NE,2009-11-08,MIA,65,Mike Carey,0,9,9
2009,Nov,2009_11_NYJ_NE,2009-11-22,NYJ,45,Jeff Triplette,0,11,9
2009,Dec,2009_14_CAR_NE,2009-12-13,CAR,40,Terry McAulay,0,14,9
2009,Dec,2009_16_JAX_NE,2009-12-27,JAX,55,Don Carey,0,16,9
2010,Jan,2009_18_BAL_NE,2010-01-10,BAL,20,Gene Steratore,0,18,12
2010,Sep,2010_01_CIN_NE,2010-09-12,CIN,62,Carl Cheffers,0,1,10.5
2010,Sep,2010_03_BUF_NE,2010-09-26,BUF,68,John Parry,0,3,10.5
2010,Oct,2010_06_BAL_NE,2010-10-17,BAL,57,Bill Leavy,1,6,15
2010,Oct,2010_08_MIN_NE,2010-10-31,MIN,49,Walt Anderson,0,8,15
