year,month,winner,week,season,playoff,team,elo_pre,elo_prob,elo_post,qbelo_pre,qb,qb_value_pre,qb_adj,qbelo_prob,qb_game_value,qb_value_post,qbelo_post,quality,importance,total_rating,score1,score2,pats_score,wins_per_month,avg_score,elo_pre_per_month,elo_post_per_month,annual_mean_temp,monthly_mean_temp,game_id,gameday,away_team,temp,referee,overtime,wind_per_month,annual_snowfall,snowfall,annual_mean_rain,monthly_mean_rain
2000,Sep,TB,1,2000,NA,NE,1499.712,0.48619807042145974,1482.365,1484.59475819,Drew Bledsoe,27.227125117731,-12.358860028,0.423928925525,107.82460338639,35.2868729445969,1469.73694138,62,NA,NA,16,21,16,0,16,1499.712,1482.365,49.3,61.8,2000_01_TB_NE,2000-09-03,TB,71,Jeff Triplette,0,10,45.9,0.0,45.6,2.87
2000,Sep,NYJ,2,2000,NA,NE,1482.365,0.27748724189900853,1478.788,1469.73694138,Drew Bledsoe,35.28687294462,-7.70371886353,0.285084961006,40.09809462054,35.767995112212,1466.03760623,54,NA,NA,20,19,19,0,19,1482.365,1478.788,49.3,61.8,NA,NA,NA,NA,NA,NA,NA,45.9,0.0,45.6,2.87
2000,Sep,MIN,3,2000,NA,NE,1478.788,0.3937575219132019,1462.055,1466.03760623,Drew Bledsoe,35.767995112079994,-7.07138001188,0.45699588227,43.6582273974,36.557018340612,1446.21141851,50,NA,NA,13,21,13,0,13,1478.788,1462.055,49.3,61.8,2000_03_MIN_NE,2000-09-17,MIN,70,Phil Luckett,0,10,45.9,0.0,45.6,2.87
2000,Sep,MIA,4,2000,NA,NE,1462.055,0.2987318916188675,1450.415,1446.21141851,Drew Bledsoe,36.55701834081,-6.31736675483,0.30504622983100005,-3.991950121499999,32.502121494579,1434.30859323,38,NA,NA,10,3,3,0,3,1462.055,1450.415,49.3,61.8,NA,NA,NA,NA,NA,NA,NA,45.9,0.0,45.6,2.87
2000,Oct,NE,5,2000,NA,NE,1450.415,0.2517704932718856,1488.115,1434.30859323,Drew Bledsoe,32.50212149448,-8.02360746221,0.19650402389800004,216.20992269822,50.87290161485401,1475.87009995,54,NA,NA,19,28,28,2,26,1469.2649999999999,1500.7730000000001,49.3,51.8,NA,NA,NA,NA,NA,NA,NA,45.9,NA,45.6,2.86
2000,Oct,NE,6,2000,NA,NE,1488.115,0.435675934313497,1513.431,1475.87009995,Drew Bledsoe,50.87290161492,1.56776841126,0.351789473781,103.74290870856,56.159902324284,1505.71070404,75,NA,NA,24,16,24,2,26,1469.2649999999999,1500.7730000000001,49.3,51.8,2000_06_IND_NE,2000-10-08,IND,55,Walt Coleman,0,15,45.9,NA,45.6,2.86
2000,Oct,NYJ,7,2000,NA,NE,1513.431,0.5015700700497069,1484.422,1505.71070404,Drew Bledsoe,56.15990232434999,4.13720524156,0.540648265241,-163.33004076773997,34.210908015140994,1474.07050264,61,NA,NA,17,34,17,0,17,1513.431,1484.422,49.3,51.8,2000_07_NYJ_NE,2000-10-15,NYJ,76,Johnny Grier,0,15,45.9,NA,45.6,2.86
2000,Oct,IND,8,2000,NA,NE,1484.422,0.26630780683287236,1474.167,1474.07050264,Drew Bledsoe,34.21090801491,-7.04025976857,0.22455483393099995,248.26968939762,55.61678615318099,1465.56755878,69,NA,NA,30,23,23,0,23,1484.422,1474.167,49.3,51.8,NA,NA,NA,NA,NA,NA,NA,45.9,NA,45.6,2.86
2000,Nov,BUF,9,2000,NA,NE,1474.167,0.4676263940311778,1461.333,1465.56755878,Drew Bledsoe,55.61678615328,4.01819545488,0.48885576077,-15.558350403915,48.499272497560504,1451.74914403,53,NA,NA,13,16,13,0,13,1474.167,1461.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,45.6,4.51
2000,Nov,CLE,10,2000,NA,NE,1461.333,0.6990929211819576,1428.421,1451.74914403,Drew Bledsoe,48.499272497609994,0.261681703578,0.720440116508,26.370591468374997,46.2864043946865,1417.262362,0,NA,NA,19,11,11,0,11,1461.333,1428.421,NA,NA,2000_10_BUF_NE,2000-11-05,BUF,46,Tom White,1,17.5,45.9,NA,45.6,4.51
