year,month,annual_mean_rain,monthly_mean_rain
2000,Jan,45.6,2.62
2000,Feb,45.6,2.55
2000,Sep,45.6,2.87
2000,Oct,45.6,2.86
2000,Nov,45.6,4.51
2000,Dec,45.6,4.67
2001,Jan,30.72,1.58
2001,Feb,30.72,1.37
2001,Sep,30.72,2.29
2001,Oct,30.72,0.98
2001,Nov,30.72,0.73
2001,Dec,30.72,2.83
2002,Jan,41.07,3.14
2002,Feb,41.07,1.81
2002,Sep,41.07,3.39
2002,Oct,41.07,3.47
2002,Nov,41.07,5.03
2002,Dec,41.07,5.3
2003,Jan,NA,1.81
2003,Feb,NA,4.21
2003,Sep,NA,2.65
2003,Oct,NA,6.2
2003,Nov,NA,2.63
2003,Dec,NA,5.06
2004,Jan,44.57,1.01
2004,Feb,44.57,1.45
2004,Sep,44.57,7.44
2004,Oct,44.57,1.88
2004,Nov,44.57,2.91
2004,Dec,44.57,3.66
2005,Jan,43.67,4.45
2005,Feb,43.67,2.7
2005,Sep,43.67,1.78
2005,Oct,43.67,9.41
2005,Nov,43.67,3.71
2005,Dec,43.67,2.87
2006,Jan,52.89,4.6
2006,Feb,52.89,2.64
2006,Sep,52.89,1.72
2006,Oct,52.89,4.5
2006,Nov,52.89,5.8
2006,Dec,52.89,1.89
2007,Jan,39.47,2.57
2007,Feb,39.47,2.2
2007,Sep,39.47,1.81
2007,Oct,39.47,2.08
2007,Nov,39.47,2.8
2007,Dec,39.47,5.25
2008,Jan,54.46,2.69
2008,Feb,54.46,7.94
2008,Sep,54.46,6.45
2008,Oct,54.46,1.41
2008,Nov,54.46,4.57
2008,Dec,54.46,7.1
2009,Jan,43.49,3.35
2009,Feb,43.49,1.94
2009,Sep,43.49,3.09
2009,Oct,43.49,5.17
2009,Nov,43.49,3.34
2009,Dec,43.49,3.91
2010,Jan,49.66,2.91
2010,Feb,49.66,3.34
2010,Sep,49.66,1.8
2010,Oct,49.66,3.9
2010,Nov,49.66,2.96
2010,Dec,49.66,3.61
2011,Jan,52.39,4.57
2011,Feb,52.39,4.57
2011,Sep,52.39,4.4
2011,Oct,52.39,6.77
2011,Nov,52.39,4.21
2011,Dec,52.39,3.97
2012,Jan,36.73,2.67
2012,Feb,36.73,1
2012,Sep,36.73,4.1
2012,Oct,36.73,2.62
2012,Nov,36.73,1.01
2012,Dec,36.73,5.93
2013,Jan,40.36,1.08
2013,Feb,40.36,5.26
2013,Sep,40.36,2.21
2013,Oct,40.36,0.61
2013,Nov,40.36,2.72
2013,Dec,40.36,4.62
2014,Jan,45.25,3.24
2014,Feb,45.25,4.13
2014,Sep,45.25,0.7
2014,Oct,45.25,5.83
2014,Nov,45.25,5.27
2014,Dec,45.25,6.56
2015,Jan,34.8,3.57
2015,Feb,34.8,3.37
2015,Sep,34.8,3.93
2015,Oct,34.8,1.74
2015,Nov,34.8,2.07
2015,Dec,34.8,4.28
2016,Jan,33.05,3.27
2016,Feb,33.05,4.17
2016,Sep,33.05,1.38
2016,Oct,33.05,5.46
2016,Nov,33.05,2.7
2016,Dec,33.05,3.25
2017,Jan,43.45,4.25
2017,Feb,43.45,3.22
2017,Sep,43.45,3.73
2017,Oct,43.45,4.14
2017,Nov,43.45,1.8
2017,Dec,43.45,2.49
2018,Jan,53.32,4.92
2018,Feb,53.32,3.77
2018,Sep,53.32,5.12
2018,Oct,53.32,3.78
2018,Nov,53.32,9.26
2018,Dec,53.32,2.72
2019,Jan,50.38,3.62
2019,Feb,50.38,3.45
2019,Sep,50.38,2.16
2019,Oct,50.38,4.45
2019,Nov,50.38,3.37
2019,Dec,50.38,6.07
