"11/30/23, 1:16 PM                                                                                                                            about:blank",,,,,,,,,,,,,,,
,"Monthly Total Snowfall for Boston Area, MA (ThreadEx)",,,,,,,,,,,,,,
,Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,
,1999-2000,0.0,0.0,0.0,0.0,0.0,0.0,13.2,9.2,2.0,T,0.0,0.0,24.4,
,2000-2001,0.0,0.0,0.0,T,T,4.5,12.4,9.8,19.2,T,0.0,0.0,45.9,
,2001-2002,0.0,0.0,0.0,T,0.0,5.0,7.9,0.5,1.4,0.3,0.0,T,15.1,
,2002-2003,0.0,0.0,0.0,T,3.6,11.1,4.2,41.6,8.1,2.3,0.0,0.0,70.9,
,2003-2004,0.0,0.0,0.0,T,0.0,21.5,4.9,2.4,10.6,T,0.0,0.0,39.4,
,2004-2005,T,0.0,0.0,0.0,3.9,7.2,43.3,17.7,14.5,T,0.0,0.0,86.6,
,2005-2006,0.0,0.0,0.0,1.1,T,10.7,8.1,20.0,T,T,0.0,0.0,39.9,
,2006-2007,0.0,0.0,0.0,0.0,0.0,0.8,1.0,4.6,10.2,0.5,0.0,0.0,17.1,
,2007-2008,0.0,0.0,0.0,0.0,T,26.9,8.3,15.0,1.0,0.0,0.0,0.0,51.2,
,2008-2009,0.0,0.0,0.0,0.0,T,25.3,23.7,6.2,10.7,0.0,0.0,0.0,65.9,
,2009-2010,0.0,0.0,0.0,0.1,0.0,15.2,13.2,7.0,0.2,0.0,0.0,0.0,35.7,
,2010-2011,0.0,0.0,0.0,0.0,T,22.0,38.3,18.5,1.3,0.9,0.0,T,81.0,
,2011-2012,0.0,0.0,0.0,1.0,T,T,6.8,0.9,0.6,0.0,0.0,T,9.3,
,2012-2013,0.0,0.0,0.0,0.0,0.4,3.4,5.0,34.0,20.6,T,0.0,0.0,63.4,
,2013-2014,0.0,0.0,0.0,0.0,T,11.7,21.8,22.9,2.2,0.3,0.0,0.0,58.9,
,2014-2015,0.0,0.0,0.0,0.0,2.6,0.3,34.3,64.8,8.6,T,0.0,0.0,110.6,
,2015-2016,0.0,T,0.0,T,0.0,0.9,9.5,15.0,4.1,6.6,0.0,0.0,36.1,
,2016-2017,0.0,0.0,0.0,0.0,T,5.9,8.9,21.5,10.1,1.2,0.0,0.0,47.6,
,2017-2018,0.0,0.0,0.0,0.0,T,9.2,17.8,8.3,23.3,1.3,0.0,0.0,59.9,
,2018-2019,0.0,0.0,0.0,0.0,0.1,0.1,2.1,11.6,13.5,T,0.0,T,27.4,
,2019-2020,0.0,0.0,0.0,0.0,T,11.5,3.1,0.5,T,0.7,T,0.0,15.8,
,2020-2021,0.0,T,0.0,4.3,T,13.0,5.8,15.3,0.1,0.1,0.0,0.0,38.6,
,2021-2022,0.0,0.0,0.0,0.0,T,0.4,36.2,15.3,2.1,T,0.0,0.0,54.0,
,2022-2023,0.0,0.0,0.0,0.0,T,1.0,6.9,3.6,0.9,0.0,0.0,0.0,12.4,
,Mean,T,T,0.0,0.3,0.4,8.7,14.0,15.3,6.9,0.6,T,T,46.1,
,Max,T,T,0.0,4.3,3.9,26.9,43.3,64.8,23.3,6.6,T,T,110.6,
,,2004,2020,2022,2020,2004,2007,2005,2015,2018,2016,2020,2019,2015,
,Min,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,T,0.0,0.0,0.0,9.3,
,,2022,2022,2022,2022,2015,1999,2007,2020,2020,2023,2023,2023,2012,
,,,,,,,,,,,,,,,
about:blank                                                                                                                                                                                                                                                                1/1,,,,,,,,,,,,,,,
