year,month,annual_snowfall,snowfall
2000,Sep,45.9,0.0
2000,Oct,45.9,NA
2000,Nov,45.9,NA
2000,Dec,45.9,4.5
2000,Jan,45.9,12.4
2000,Feb,45.9,9.8
2001,Sep,15.1,0.0
2001,Oct,15.1,NA
2001,Nov,15.1,0.0
2001,Dec,15.1,5.0
2001,Jan,15.1,7.9
2001,Feb,15.1,0.5
2002,Sep,70.9,0.0
2002,Oct,70.9,NA
2002,Nov,70.9,3.6
2002,Dec,70.9,11.1
2002,Jan,70.9,4.2
2002,Feb,70.9,41.6
2003,Sep,39.4,0.0
2003,Oct,39.4,NA
2003,Nov,39.4,0.0
2003,Dec,39.4,21.5
2003,Jan,39.4,4.9
2003,Feb,39.4,2.4
2004,Sep,86.6,0.0
2004,Oct,86.6,0.0
2004,Nov,86.6,3.9
2004,Dec,86.6,7.2
2004,Jan,86.6,43.3
2004,Feb,86.6,17.7
2005,Sep,39.9,0.0
2005,Oct,39.9,1.1
2005,Nov,39.9,NA
2005,Dec,39.9,10.7
2005,Jan,39.9,8.1
2005,Feb,39.9,20.0
2006,Sep,17.1,0.0
2006,Oct,17.1,0.0
2006,Nov,17.1,0.0
2006,Dec,17.1,0.8
2006,Jan,17.1,1.0
2006,Feb,17.1,4.6
2007,Sep,51.2,0.0
2007,Oct,51.2,0.0
2007,Nov,51.2,NA
2007,Dec,51.2,26.9
2007,Jan,51.2,8.3
2007,Feb,51.2,15.0
2008,Sep,65.9,0.0
2008,Oct,65.9,0.0
2008,Nov,65.9,NA
2008,Dec,65.9,25.3
2008,Jan,65.9,23.7
2008,Feb,65.9,6.2
2009,Sep,35.7,0.0
2009,Oct,35.7,0.1
2009,Nov,35.7,0.0
2009,Dec,35.7,15.2
2009,Jan,35.7,13.2
2009,Feb,35.7,7.0
2010,Sep,81.0,0.0
2010,Oct,81.0,0.0
2010,Nov,81.0,NA
2010,Dec,81.0,22.0
2010,Jan,81.0,38.3
2010,Feb,81.0,18.5
2011,Sep,9.3,0.0
2011,Oct,9.3,1.0
2011,Nov,9.3,NA
2011,Dec,9.3,NA
2011,Jan,9.3,6.8
2011,Feb,9.3,0.9
2012,Sep,63.4,0.0
2012,Oct,63.4,0.0
2012,Nov,63.4,0.4
2012,Dec,63.4,3.4
2012,Jan,63.4,5.0
2012,Feb,63.4,34.0
2013,Sep,58.9,0.0
2013,Oct,58.9,0.0
2013,Nov,58.9,NA
2013,Dec,58.9,11.7
2013,Jan,58.9,21.8
2013,Feb,58.9,22.9
2014,Sep,110.6,0.0
2014,Oct,110.6,0.0
2014,Nov,110.6,2.6
2014,Dec,110.6,0.3
2014,Jan,110.6,34.3
2014,Feb,110.6,64.8
2015,Sep,36.1,0.0
2015,Oct,36.1,NA
2015,Nov,36.1,0.0
2015,Dec,36.1,0.9
2015,Jan,36.1,9.5
2015,Feb,36.1,15.0
2016,Sep,47.6,0.0
2016,Oct,47.6,0.0
2016,Nov,47.6,NA
2016,Dec,47.6,5.9
2016,Jan,47.6,8.9
2016,Feb,47.6,21.5
2017,Sep,59.9,0.0
2017,Oct,59.9,0.0
2017,Nov,59.9,NA
2017,Dec,59.9,9.2
2017,Jan,59.9,17.8
2017,Feb,59.9,8.3
2018,Sep,27.4,0.0
2018,Oct,27.4,0.0
2018,Nov,27.4,0.1
2018,Dec,27.4,0.1
2018,Jan,27.4,2.1
2018,Feb,27.4,11.6
2019,Sep,15.8,0.0
2019,Oct,15.8,0.0
2019,Nov,15.8,NA
2019,Dec,15.8,11.5
2019,Jan,15.8,3.1
2019,Feb,15.8,0.5
2020,Sep,38.6,0.0
2020,Oct,38.6,4.3
2020,Nov,38.6,NA
2020,Dec,38.6,13.0
2020,Jan,38.6,5.8
2020,Feb,38.6,15.3
2021,Sep,54.0,0.0
2021,Oct,54.0,0.0
2021,Nov,54.0,NA
2021,Dec,54.0,0.4
2021,Jan,54.0,36.2
2021,Feb,54.0,15.3
2022,Sep,12.4,0.0
2022,Oct,12.4,0.0
2022,Nov,12.4,NA
2022,Dec,12.4,1.0
2022,Jan,12.4,6.9
2022,Feb,12.4,3.6
